No    ,Deprem Kodu,Olus tarihi,Olus zamani,Enlem,Boylam,Der(km),xM,MD,ML,Mw,Ms,Mb,Tip,Yer
1,2.02E+13,2024-08-23,59:44.7,37.8638,36.3227,5,4,0,3.9,4,0,0,Ke,PAYAMBURNU-GOKSUN (KAHRAMANMARAS) [South East  2.9 km]
2,2.02E+13,2024-08-22,19:24.8,35.7593,27.4893,9.8,4.1,0,4.1,4,0,0,Ke,AKDENIZ
3,2.02E+13,2024-08-18,15:18.7,39.3063,41.155,5.2,4.1,0,4,4.1,0,0,Ke,ALABALIK-VARTO (MUS) [South West  1.0 km]
4,2.02E+13,2024-08-16,15:37.2,35.0907,36.8605,11.5,4.9,0,4.9,4.8,0,0,Ke,SURIYE
5,2.02E+13,2024-08-14,54:27.8,35.1017,37.0068,5.1,4.1,0,4.1,3.9,0,0,Ke,SURIYE
6,2.02E+13,2024-08-13,33:16.1,39.6598,37.345,3.9,4.1,0,4.1,4.1,0,0,Ke,HACIALI- (SIVAS) [North West  2.7 km]
7,2.02E+13,2024-08-13,28:37.6,35.0807,36.9993,8.5,4.6,0,4.6,4.6,0,0,Ke,SURIYE
8,2.02E+13,2024-08-12,55:56.8,35.0682,37.022,5,5.1,0,5.1,5.1,0,0,Ke,SURIYE
9,2.02E+13,2024-08-09,51:52.1,36.1308,28.888,6.7,4.1,0,4,4.1,0,0,Ke,AKDENIZ
10,2.02E+13,2024-08-09,38:21.7,36.1313,28.8542,5,4.1,0,3.9,4.1,0,0,Ke,AKDENIZ
11,2.02E+13,2024-08-07,32:26.0,37.6577,35.9152,5,4.6,0,4.6,4.6,0,0,Ke,MAHYALAR-KOZAN (ADANA) [South West  1.1 km]
12,2.02E+13,2024-08-03,05:34.6,39.8697,28.7602,6.3,4.2,0,4.2,4,0,0,Ke,GAZIOLUK-ORHANELI (BURSA) [North West  2.4 km]
13,2.02E+13,2024-08-01,52:11.4,38.154,38.2832,5,4.4,0,4.4,4.3,0,0,Ke,ASAGIKOY-YESILYURT (MALATYA) [North West  3.4 km]
14,2.02E+13,2024-07-31,10:58.6,38.3248,38.2523,3.4,4,0,3.9,4,0,0,Ke,BOSTANBASI-YESILYURT (MALATYA) [North 1.4 km]
15,2.02E+13,2024-07-26,27:16.9,39.2657,41.0177,5.4,4.1,0,4,4.1,0,0,Ke,SERPMEKAYA-KARLIOVA (BINGOL) [North West  2.5 km]
16,2.02E+13,2024-07-24,20:11.8,40.0368,36.0483,5,4,0,4,4,0,0,Ke,DUTLUCA-SULUSARAY (TOKAT) [East 2.1 km]
17,2.02E+13,2024-07-22,39:22.1,39.6782,26.395,13.4,4.9,0,4.9,4.8,0,0,Ke,BAHCELI-EZINE (CANAKKALE) [South East  1.0 km]
18,2.02E+13,2024-07-21,55:08.2,37.6732,35.4318,4.8,4.1,0,4.1,4.1,0,0,Ke,KUP-ALADAG (ADANA) [South West  5.5 km]
19,2.02E+13,2024-07-19,26:08.7,40.6635,27.476,16.5,4.2,0,4.2,4.1,0,0,Ke,GUZELKOY ACIKLARI-TEKIRDAG (MARMARA DENIZI)
20,2.02E+13,2024-07-12,19:44.4,38.5965,43.1352,5,4.4,0,4.2,4.4,0,0,Ke,VAN GOLU
21,2.02E+13,2024-07-11,24:42.2,38.7222,30.5527,5.2,4.5,0,4.5,4.4,0,0,Ke,ATAKOY- (AFYONKARAHISAR) [South East  0.7 km]
22,2.02E+13,2024-07-10,54:30.5,38.2607,38.115,5,4.3,0,4.3,4.3,0,0,Ke,GORGU-YESILYURT (MALATYA) [South East  0.5 km]
23,2.02E+13,2024-07-09,41:03.2,38.2657,38.125,2.1,4.2,0,4.2,4,0,0,Ke,GORGU-YESILYURT (MALATYA) [East 1.2 km]
24,2.02E+13,2024-07-09,11:50.3,36.7008,28.1457,82.5,4.5,0,4.5,4.2,0,0,Ke,BAYIR-MARMARIS (MUGLA) [South West  2.7 km]
25,2.02E+13,2024-06-26,37:12.4,36.9887,34.4045,8.8,4.1,0,4.1,3.8,0,0,Ke,YUKSEKOLUK-TOROSLAR (MERSIN) [West 0.7 km]
26,2.02E+13,2024-06-26,42:50.1,39.246,40.8782,13.3,4,0,4,4,0,0,Ke,KAYNAK-KARLIOVA (BINGOL) [West 2.8 km]
27,2.02E+13,2024-06-24,36:44.4,39.3077,27.5322,5.3,4.9,0,4.9,4.7,0,0,Ke,VAKIFLI-SOMA (MANISA) [South East  1.6 km]
28,2.02E+13,2024-06-16,24:50.1,38.2898,37.8107,5,4.4,0,4.3,4.4,0,0,Ke,ORTAKOY-AKCADAG (MALATYA) [South 3.2 km]
29,2.02E+13,2024-06-13,27:13.1,40.3645,27.11,12.3,4,0,4,3.7,0,0,Ke,ESKIBALIKLI-BIGA (CANAKKALE) [North East  2.0 km]
30,2.02E+13,2024-06-12,19:11.5,36.0367,27.999,64.8,4.7,0,4.7,4.5,0,0,Ke,RODOS ADASI (AKDENIZ)
31,2.02E+13,2024-06-09,31:57.7,37.9982,36.406,1.9,4.3,0,4.3,4.3,0,0,Ke,ACIELMA-GOKSUN (KAHRAMANMARAS) [South West  1.1 km]
32,2.02E+13,2024-06-06,02:37.3,39.2415,40.8597,2.1,4,0,3.9,4,0,0,Ke,SOGUKPINAR-KARLIOVA (BINGOL) [North East  3.6 km]
