Date,Average Temperature (°C),City
2010-01-01,15.19583333,Balikesir
2010-01-02,11.89583333,Balikesir
2010-01-03,8.6,Balikesir
2010-01-04,1.866666667,Balikesir
2010-01-05,3.5625,Balikesir
2010-01-06,10.2,Balikesir
2010-01-07,12.9875,Balikesir
2010-01-08,11.59583333,Balikesir
2010-01-09,11.30833333,Balikesir
2010-01-10,12.34166667,Balikesir
2010-01-11,9.379166667,Balikesir
2010-01-12,8.7875,Balikesir
2010-01-13,8.4625,Balikesir
2010-01-14,6.641666667,Balikesir
2010-01-15,5.6375,Balikesir
2010-01-16,3.7875,Balikesir
2010-01-17,4.4875,Balikesir
2010-01-18,6.8625,Balikesir
2010-01-19,1.704166667,Balikesir
2010-01-20,1.370833333,Balikesir
2010-01-21,3.133333333,Balikesir
2010-01-22,0.9875,Balikesir
2010-01-23,-3.004166667,Balikesir
2010-01-24,-2.0875,Balikesir
2010-01-25,-3.083333333,Balikesir
2010-01-26,-2.966666667,Balikesir
2010-01-27,-0.704166667,Balikesir
2010-01-28,0.825,Balikesir
2010-01-29,6.583333333,Balikesir
2010-01-30,7.754166667,Balikesir
2010-01-31,9.3375,Balikesir
2010-02-01,10.11666667,Balikesir
2010-02-02,3.2,Balikesir
2010-02-03,-1.8125,Balikesir
2010-02-04,0.2875,Balikesir
2010-02-05,-0.575,Balikesir
2010-02-06,1.333333333,Balikesir
2010-02-07,5.954166667,Balikesir
2010-02-08,8.079166667,Balikesir
2010-02-09,4.291666667,Balikesir
2010-02-10,6.7125,Balikesir
2010-02-11,9.883333333,Balikesir
2010-02-12,11.9,Balikesir
2010-02-13,10.69166667,Balikesir
2010-02-14,9.0125,Balikesir
2010-02-15,11.64583333,Balikesir
2010-02-16,9.483333333,Balikesir
2010-02-17,11.29583333,Balikesir
2010-02-18,13.90416667,Balikesir
2010-02-19,13.4125,Balikesir
2010-02-20,16.79166667,Balikesir
2010-02-21,12.64166667,Balikesir
2010-02-22,8.716666667,Balikesir
2010-02-23,9.720833333,Balikesir
2010-02-24,11.8125,Balikesir
