date,relative_humidity_2m,City
2024-10-31,67.625,Balikesir
2024-10-31,37.875,Bingöl
2024-10-31,74.541664,Bursa
2024-10-31,68.541664,Çanakkale
2024-10-31,89.333336,Düzce
2024-10-31,38,Erzincan
2024-10-31,36.791668,Hatay
2024-10-31,71.291664,Istanbul
2024-10-31,52.291668,Izmir
2024-10-31,81.541664,Kocaeli
2024-10-31,61.458332,Manisa
2024-10-31,54.583332,Mus
2024-10-31,86.291664,Sakarya
2024-10-31,71.5,Tekirdag
2024-10-31,51.208332,Van
2024-10-30,68.291664,Balikesir
2024-10-30,34.916668,Bingöl
2024-10-30,75.958336,Bursa
2024-10-30,68.5,Çanakkale
2024-10-30,94.333336,Düzce
2024-10-30,34.791668,Erzincan
2024-10-30,41,Hatay
2024-10-30,70.25,Istanbul
2024-10-30,55.666668,Izmir
2024-10-30,80.166664,Kocaeli
2024-10-30,61.083332,Manisa
2024-10-30,53.666668,Mus
2024-10-30,87.583336,Sakarya
2024-10-30,71.541664,Tekirdag
2024-10-30,46.5,Van
2024-10-29,66.375,Balikesir
2024-10-29,37.166668,Bingöl
2024-10-29,63.333332,Bursa
2024-10-29,66.833336,Çanakkale
2024-10-29,86.708336,Düzce
2024-10-29,34.916668,Erzincan
2024-10-29,38.916668,Hatay
2024-10-29,82.541664,Istanbul
2024-10-29,48.875,Izmir
2024-10-29,80.041664,Kocaeli
2024-10-29,59.5,Manisa
2024-10-29,48,Mus
2024-10-29,86.75,Sakarya
2024-10-29,75.666664,Tekirdag
2024-10-29,47,Van
2024-10-28,71.333336,Balikesir
2024-10-28,38.583332,Bingöl
2024-10-28,73.833336,Bursa
2024-10-28,72.5,Çanakkale
2024-10-28,88.875,Düzce
2024-10-28,41.375,Erzincan
2024-10-28,39.875,Hatay
2024-10-28,81.333336,Istanbul
2024-10-28,65.125,Izmir
2024-10-28,84.125,Kocaeli
2024-10-28,67.625,Manisa
2024-10-28,41.583332,Mus
2024-10-28,87.75,Sakarya
2024-10-28,84.166664,Tekirdag
2024-10-28,52.708332,Van
2024-10-27,77.333336,Balikesir
2024-10-27,42.458332,Bingöl
2024-10-27,69.583336,Bursa
2024-10-27,72.708336,Çanakkale
2024-10-27,91.041664,Düzce
2024-10-27,52.083332,Erzincan
2024-10-27,40.041668,Hatay
2024-10-27,76.291664,Istanbul
2024-10-27,59.166668,Izmir
2024-10-27,81.625,Kocaeli
2024-10-27,63.166668,Manisa
2024-10-27,47.833332,Mus
2024-10-27,88.083336,Sakarya
2024-10-27,79,Tekirdag
2024-10-27,53.25,Van
2024-10-26,69.083336,Balikesir
2024-10-26,49.625,Bingöl
2024-10-26,61.666668,Bursa
2024-10-26,70.083336,Çanakkale
2024-10-26,85.958336,Düzce
2024-10-26,58.833332,Erzincan
2024-10-26,37.666668,Hatay
2024-10-26,73,Istanbul
2024-10-26,49.125,Izmir
2024-10-26,79.458336,Kocaeli
2024-10-26,59.791668,Manisa
2024-10-26,52.083332,Mus
2024-10-26,86.333336,Sakarya
2024-10-26,75.583336,Tekirdag
2024-10-26,44.083332,Van
2024-10-25,67.708336,Balikesir
2024-10-25,50.083332,Bingöl
2024-10-25,67.333336,Bursa
2024-10-25,70.375,Çanakkale
2024-10-25,85.666664,Düzce
2024-10-25,53.5,Erzincan
2024-10-25,38.75,Hatay
2024-10-25,73.666664,Istanbul
2024-10-25,50.416668,Izmir
2024-10-25,81.458336,Kocaeli
2024-10-25,59.5,Manisa
2024-10-25,49.625,Mus
2024-10-25,87.666664,Sakarya
2024-10-25,72.875,Tekirdag
2024-10-25,39.833332,Van
2024-10-24,69.208336,Balikesir
2024-10-24,43.25,Bingöl
2024-10-24,70.75,Bursa
2024-10-24,70.125,Çanakkale
2024-10-24,88.833336,Düzce
2024-10-24,55.958332,Erzincan
2024-10-24,40.583332,Hatay
2024-10-24,76.166664,Istanbul
2024-10-24,53.25,Izmir
2024-10-24,82.291664,Kocaeli
2024-10-24,61.541668,Manisa
2024-10-24,47.375,Mus
2024-10-24,87.416664,Sakarya
2024-10-24,76.25,Tekirdag
2024-10-24,52.25,Van
2024-10-23,71.75,Balikesir
2024-10-23,31.375,Bingöl
2024-10-23,67.083336,Bursa
2024-10-23,71,Çanakkale
2024-10-23,88.541664,Düzce
2024-10-23,55.125,Erzincan
2024-10-23,32.666668,Hatay
2024-10-23,76.333336,Istanbul
2024-10-23,52.333332,Izmir
2024-10-23,82.75,Kocaeli
2024-10-23,61,Manisa
2024-10-23,41.875,Mus
2024-10-23,87.625,Sakarya
2024-10-23,76.583336,Tekirdag
2024-10-23,52.125,Van
2024-10-22,67.083336,Balikesir
2024-10-22,40.958332,Bingöl
2024-10-22,69.25,Bursa
2024-10-22,69.666664,Çanakkale
2024-10-22,90.916664,Düzce
2024-10-22,57.916668,Erzincan
2024-10-22,33.666668,Hatay
2024-10-22,73.416664,Istanbul
2024-10-22,47.5,Izmir
2024-10-22,81.333336,Kocaeli
2024-10-22,54.583332,Manisa
2024-10-22,55.375,Mus
2024-10-22,88.875,Sakarya
2024-10-22,72.291664,Tekirdag
2024-10-22,49.75,Van
2024-10-21,65.083336,Balikesir
